platform,page_name,key,en,zh-CN,zh-HK
APP,Forgot Password,forgot.emailPlaceholder,Enter email address,请输入邮箱,請輸入郵箱
APP,Forgot Password,forgot.new.label,New Password,新密码,新密碼
APP,Forgot Password,forgot.new.placeholder,At least 8 characters,至少8个字符,至少8個字元
APP,Forgot Password,forgot.newDesc,Enter your new password below,请输入新密码,請輸入新密碼
APP,Forgot Password,forgot.newTitle,Create New Password,创建新密码,建立新密碼
APP,Forgot Password,forgot.otp.desc.email,Enter the 6-digit code sent to <b>john@***.com</b>,输入发送至 <b>john@***.com</b> 的6位验证码,請輸入傳送至 <b>john@***.com</b> 的6位驗證碼
APP,Forgot Password,forgot.otp.desc.phone,Enter the 6-digit code sent to <b>+852 9123 ****</b>,输入发送至 <b>+852 9123 ****</b> 的6位验证码,請輸入傳送至 <b>+852 9123 ****</b> 的6位驗證碼
APP,Forgot Password,forgot.phoneLabel,Phone Number,手机号码,手機號碼
APP,Forgot Password,forgot.phonePlaceholder,Enter phone number,请输入手机号,請輸入手機號
APP,Forgot Password,forgot.resend,Didn't receive?,没有收到？,沒有收到？
APP,Forgot Password,forgot.resendTimer,Resend in 01:00,01:00 后重发,01:00 後重發
APP,Forgot Password,forgot.sendBtn,SEND CODE,发送验证码,發送驗證碼
APP,Forgot Password,forgot.success,Password changed successfully! ✓,密码修改成功 ✓,密碼修改成功 ✓
APP,Forgot Password,forgot.tab.email,✉️ Email,✉️ 邮箱,✉️ 郵箱
APP,Forgot Password,forgot.tab.phone,📱 Phone,📱 手机号,📱 手機號
APP,Forgot Password,forgot.title,Forgot Password,忘记密码,忘記密碼
APP,Forgot Password,forgot.verifyBtn,VERIFY,验证,驗證
APP,Forgot Password,forgot.verifyDesc,Enter the 6-digit code,输入6位验证码,輸入6位驗證碼
APP,Forgot Password,forgot.verifyTitle,Verify Code,验证码,驗證碼
APP,Create Password (KYC),cpk.all,All Countries,所有国家,所有國家
APP,Create Password (KYC),cpk.empty,No results found,未找到结果,未找到結果
APP,Create Password (KYC),cpk.popular,Popular,热门,熱門
APP,Create Password (KYC),cpk.search,Search country or dial code…,搜索国家或区号…,搜尋國家或區號…
APP,Create Password (KYC),cpk.title,Select Country / Region,选择国家 / 地区,選擇國家 / 地區
APP,Flow Map,map.email,✉️ Email Registration: ,✉️ 邮箱注册：,✉️ 信箱註冊：
APP,Flow Map,map.kyc,🛡️ KYC Verification: ,🛡️ KYC 认证：,🛡️ KYC認證：
APP,Flow Map,map.pwd,🔒 Password Login: ,🔒 密码登录：,🔒 密碼登入：
APP,Flow Map,map.sms,📱 SMS Registration: ,📱 短信注册：,📱 短信註冊：
APP,Flow Map,map.wa,WhatsApp Registration: ,WhatsApp 注册：,WhatsApp 註冊：
APP,Error Messages,error.accountLocked,"Account locked, please try again in 1 hour",账号已被锁定，请1小时后再试,帳號已被鎖定，請1小時後再試
APP,Error Messages,error.emailInvalid,Invalid email format,邮箱格式错误,郵箱格式錯誤
APP,Error Messages,error.forbidden,Access denied,无权限访问,無權限存取
APP,Error Messages,error.invalidInput,Invalid input format,输入格式有误,輸入格式有誤
APP,Error Messages,error.notFound,Page not found,页面不存在,頁面不存在
APP,Error Messages,error.otpExpired,Verification code expired,验证码已过期,驗證碼已過期
APP,Error Messages,error.otpInvalid,Invalid verification code,验证码错误,驗證碼錯誤
APP,Error Messages,error.passwordMismatch,Passwords do not match,两次密码输入不一致,兩次密碼輸入不一致
APP,Error Messages,error.passwordWeak,Password is too weak,密码强度不够,密碼強度不夠
APP,Error Messages,error.phoneInvalid,Invalid phone number format,手机号格式错误,手機號格式錯誤
APP,Error Messages,error.serverError,Server error,服务器错误,伺服器錯誤
APP,Error Messages,error.timeout,"Request timed out, please retry",请求超时，请重试,請求逾時，請重試
APP,Error Messages,error.tooManyAttempts,"Too many attempts, please try again later",尝试次数过多，请稍后再试,嘗試次數過多，請稍後再試
APP,Error Messages,error.unauthorized,"Session expired, please log in again",登录已过期，请重新登录,登入已過期，請重新登入
APP,My Center,myCenter.cancelled,Cancelled,已取消,已取消
APP,My Center,myCenter.help,Help & Support,帮助与支持,幫助與支援
APP,My Center,myCenter.helpDesc,"FAQ, contact us, feedback",常见问题、联系我们,常見問題、聯繫我們
APP,My Center,myCenter.orders,My Orders,我的订单,我的訂單
APP,My Center,myCenter.paid,Paid,已支付,已支付
APP,My Center,myCenter.pendingPay,Unpaid,待支付,待支付
APP,My Center,myCenter.quickActions,Quick Actions,快捷入口,快捷入口
APP,My Center,myCenter.restricted,Account Restricted,账号受限,帳號受限
APP,My Center,myCenter.restrictedDesc,Contact support to resolve this issue,请联系客服处理,請聯繫客服處理
APP,My Center,myCenter.restrictedTitle,Account Restricted,账号受限,帳號受限
APP,My Center,myCenter.settings,Settings,设置,設定
APP,My Center,myCenter.settingsDesc,"Account, security, language",账户、安全、语言,帳戶、安全、語言
APP,My Center,myCenter.title,My Center,个人中心,個人中心
APP,My Center,myCenter.unverified,Unverified,未认证,未認證
APP,My Center,myCenter.verified,Verified,已认证,已認證
APP,My Center,myCenter.verifiedBar,Identity Verified · KYC Complete,已完成身份认证 · KYC通过,已完成身份認證 · KYC通過
APP,My Center,myCenter.verifyDesc,Required before placing orders · Takes ~2 min,下单前需完成认证 · 约2分钟,下單前需完成認證 · 約2分鐘
APP,My Center,myCenter.verifyTitle,Complete Identity Verification,完成身份认证,完成身份認證
APP,My Center,myCenter.viewAll,View All ›,查看全部 ›,查看全部 ›
APP,Me Tab (Profile),me.about,About Us,关于我们,關於我們
APP,Me Tab (Profile),me.changePassword,Change Password,修改密码,修改密碼
APP,Me Tab (Profile),me.kyc,Identity Verification,身份认证,身份認證
APP,Me Tab (Profile),me.kyc.pending,Under Review,审核中,審核中
APP,Me Tab (Profile),me.kyc.unverified,Unverified,未认证,未認證
APP,Me Tab (Profile),me.kyc.verified,Verified,已认证,已認證
APP,Me Tab (Profile),me.language,Language,语言设置,語言設定
APP,Me Tab (Profile),me.logout,Log Out,退出登录,登出
APP,Me Tab (Profile),me.logoutConfirm,Are you sure you want to log out?,确定要退出登录吗？,確定要登出嗎？
APP,Me Tab (Profile),me.orders,My Orders,我的订单,我的訂單
APP,Me Tab (Profile),me.orders.cancelled,Cancelled,已取消,已取消
APP,Me Tab (Profile),me.orders.paid,Paid,已付款,已付款
APP,Me Tab (Profile),me.orders.unpaid,Unpaid,待付款,待付款
APP,Me Tab (Profile),me.profile,My Profile,我的资料,我的資料
APP,Me Tab (Profile),me.security,Security Settings,安全设置,安全設定
APP,Me Tab (Profile),me.title,Me,我的,我的
APP,Me Tab (Profile),me.version,Version,版本信息,版本資訊
APP,Identity Verification (KYC),profile.autoDetect,Auto-detect,自动识别,自動辨識
APP,Identity Verification (KYC),profile.back,Back Side,反面,反面
APP,Identity Verification (KYC),profile.biz,Business Information,企业信息,企業資訊
APP,Identity Verification (KYC),profile.biz.address,Business Address,企业地址,企業地址
APP,Identity Verification (KYC),profile.biz.autoDetect,Auto-detect,自动识别,自動識別
APP,Identity Verification (KYC),profile.biz.collapse,Add business license for enterprise account,添加营业执照以开通企业账户,添加營業執照以開通企業帳戶
APP,Identity Verification (KYC),profile.biz.endDate,End date,到期日期,到期日期
APP,Identity Verification (KYC),profile.biz.hint,"JPG / PNG / PDF, max 20 MB",JPG / PNG / PDF，最大20MB,JPG / PNG / PDF，最大20MB
APP,Identity Verification (KYC),profile.biz.legalRep,Legal Rep / Director,法定代表人/董事,法定代表人/董事
APP,Identity Verification (KYC),profile.biz.licenseType,License Type,证照类型,證照類型
APP,Identity Verification (KYC),profile.biz.ocrPending,Upload license to auto-recognize,上传执照后自动识别,上傳執照後自動識別
APP,Identity Verification (KYC),profile.biz.optional,Optional,选填,選填
APP,Identity Verification (KYC),profile.biz.regNum,Reg. Number,注册号,註冊號
APP,Identity Verification (KYC),profile.biz.startDate,Start date,开始日期,開始日期
APP,Identity Verification (KYC),profile.biz.upload,Upload Business License,上传营业执照,上傳營業執照
APP,Identity Verification (KYC),profile.biz.validity,License Validity Period,执照有效期,執照有效期
APP,Identity Verification (KYC),profile.bizAddress,Business Address,企业地址,企業地址
APP,Identity Verification (KYC),profile.bizCollapse,Add business license for enterprise account,添加营业执照以开通企业账户,新增營業執照以開通企業帳戶
APP,Identity Verification (KYC),profile.bizGuideDesc,Enterprise accounts get higher daily purchase limits and priority support.,企业账户可享更高日购买限额与优先客服支持。,企業帳戶可享更高日購買限額與優先客服支援。
APP,Identity Verification (KYC),profile.bizGuideTitle,Fill in business info to unlock higher limits,填写企业信息，解锁更高购买额度,填寫企業資訊，解鎖更高購買額度
APP,Identity Verification (KYC),profile.bizHint,"JPG / PNG / PDF, max 20 MB",JPG / PNG / PDF，最大20MB,JPG / PNG / PDF，最大20MB
APP,Identity Verification (KYC),profile.bizInfo,Business Information,企业信息,企業資訊
APP,Identity Verification (KYC),profile.bizOcrPending,Upload license to auto-recognize,上传执照后自动识别,上傳執照後自動辨識
APP,Identity Verification (KYC),profile.bizUpload,Upload Business License,上传营业执照,上傳營業執照
APP,Identity Verification (KYC),profile.city,City / District,城市 / 区,城市 / 區
APP,Identity Verification (KYC),profile.cnid,CN Resident ID,中国居民身份证,中國居民身份證
APP,Identity Verification (KYC),profile.contactEmail,Contact Email,联系邮箱,聯繫信箱
APP,Identity Verification (KYC),profile.demoDup,🎬 Demo: Simulate duplicate identity,🎬 演示：模拟重复身份,🎬 演示：模擬重複身份
APP,Identity Verification (KYC),profile.desc,Complete KYC to unlock order placement,完成KYC认证以解锁下单功能,完成KYC認證以解鎖下單功能
APP,Identity Verification (KYC),profile.email,Contact Email,联系邮箱,聯絡郵箱
APP,Identity Verification (KYC),profile.email.optional,Optional,选填,選填
APP,Identity Verification (KYC),profile.email.placeholder,For order notifications,用于接收订单通知,用於接收訂單通知
APP,Identity Verification (KYC),profile.emailPlaceholder,For order notifications,用于接收订单通知,用於接收訂單通知
APP,Identity Verification (KYC),profile.endDate,End date,到期日期,到期日期
APP,Identity Verification (KYC),profile.front,✅ Front,✅ 正面,✅ 正面
APP,Identity Verification (KYC),profile.fullName,Full Name,姓名,姓名
APP,Identity Verification (KYC),profile.heading,Identity Verification,身份验证,身份驗證
APP,Identity Verification (KYC),profile.hkid,Hong Kong ID,香港身份证,香港身份證
APP,Identity Verification (KYC),profile.id,Identity Verification,身份验证,身份驗證
APP,Identity Verification (KYC),profile.id.cnid,CN Resident ID,中国居民身份证,中國居民身份證
APP,Identity Verification (KYC),profile.id.hkid,HK/Macau ID,港澳居民身份证,港澳居民身份證
APP,Identity Verification (KYC),profile.id.passport,Passport,护照,護照
APP,Identity Verification (KYC),profile.id.select,Select ID Type,选择证件类型,選擇證件類型
APP,Identity Verification (KYC),profile.idNumber,ID Number,证件号码,證件號碼
APP,Identity Verification (KYC),profile.idVerify,Identity Verification,身份验证,身份驗證
APP,Identity Verification (KYC),profile.legalRep,Legal Rep / Director,法定代表人/董事,法定代表人/董事
APP,Identity Verification (KYC),profile.licenseType,License Type,证照类型,證照類型
APP,Identity Verification (KYC),profile.licenseValidity,License Validity Period,执照有效期,執照有效期
APP,Identity Verification (KYC),profile.moid,Macau ID,澳门身份证,澳門身份證
APP,Identity Verification (KYC),profile.noCityData,No city data for this province,该省份暂无城市数据,該省份暫無城市資料
APP,Identity Verification (KYC),profile.noProvinceData,No province data for this region,该地区暂无省份数据,該地區暫無省份資料
APP,Identity Verification (KYC),profile.ocr.banner,OCR Recognized,OCR 已识别,OCR 已識別
APP,Identity Verification (KYC),profile.ocr.bannerDesc,— please review and correct if needed,— 请检查并修正,— 請檢查並修正
APP,Identity Verification (KYC),profile.ocr.edit,✏️ tap to edit,✏️ 点击编辑,✏️ 點擊編輯
APP,Identity Verification (KYC),profile.ocr.idNum,ID Number,证件号码,證件號碼
APP,Identity Verification (KYC),profile.ocr.name,Full Name,姓名,姓名
APP,Identity Verification (KYC),profile.ocrBanner,OCR Recognized,OCR 已识别,OCR 已辨識
APP,Identity Verification (KYC),profile.ocrBannerDesc,— please review and correct if needed,— 请检查并修正,— 請檢查並修正
APP,Identity Verification (KYC),profile.optional,Optional,选填,選填
APP,Identity Verification (KYC),profile.passport,Passport,护照,護照
APP,Identity Verification (KYC),profile.passportHint,Photo page with MRZ · JPG/PNG ≤10MB,含MRZ的信息页 · JPG/PNG ≤10MB,含MRZ的資訊頁 · JPG/PNG ≤10MB
APP,Identity Verification (KYC),profile.province,Province / State,省份 / 州,省份 / 州
APP,Identity Verification (KYC),profile.regNumber,Reg. Number,注册号,註冊號
APP,Identity Verification (KYC),profile.region,Country / Region,国家 / 地区,國家 / 地區
APP,Identity Verification (KYC),profile.region.city,City,城市,城市
APP,Identity Verification (KYC),profile.region.province,Province,省份,省份
APP,Identity Verification (KYC),profile.region.required,Required,必填,必填
APP,Identity Verification (KYC),profile.regionNoResults,No results,无搜索结果,無搜尋結果
APP,Identity Verification (KYC),profile.regionPickerTitle,Select Country / Region,选择国家 / 地区,選擇國家 / 地區
APP,Identity Verification (KYC),profile.regionSearchPlaceholder,Search country or region…,搜索国家或地区…,搜尋國家或地區…
APP,Identity Verification (KYC),profile.required,Required,必填,必填
APP,Identity Verification (KYC),profile.selectId,Select ID Type,选择证件类型,選擇證件類型
APP,Identity Verification (KYC),profile.selectPlaceholder,Please select,请选择,請選擇
APP,Identity Verification (KYC),profile.skip,Skip for now →,暂时跳过 →,暫時跳過 →
APP,Identity Verification (KYC),profile.startDate,Start date,开始日期,開始日期
APP,Identity Verification (KYC),profile.submit,SUBMIT FOR VERIFICATION,提交验证,提交驗證
APP,Identity Verification (KYC),profile.tapEdit,✏️ tap to edit,✏️ 点击编辑,✏️ 點擊編輯
APP,Identity Verification (KYC),profile.title,Identity Verification,身份验证,身份驗證
APP,Identity Verification (KYC),profile.upload.back,Back Side,反面,反面
APP,Identity Verification (KYC),profile.upload.front,✅ Front,✅ 正面,✅ 正面
APP,Identity Verification (KYC),profile.upload.hint,JPG/PNG ≤10MB,JPG/PNG ≤10MB,JPG/PNG ≤10MB
APP,Identity Verification (KYC),profile.upload.passport,Upload Info Page,上传信息页,上傳資訊頁
APP,Identity Verification (KYC),profile.upload.passport.hint,Photo page with MRZ · JPG/PNG ≤10MB,含MRZ的信息页 · JPG/PNG ≤10MB,含MRZ的資訊頁 · JPG/PNG ≤10MB
APP,Identity Verification (KYC),profile.uploadHint,JPG/PNG ≤10MB,JPG/PNG ≤10MB,JPG/PNG ≤10MB
APP,Identity Verification (KYC),profile.uploadPassport,Upload Info Page,上传信息页,上傳資訊頁
APP,Identity Verification (KYC),profile.validity,ID Validity Period,证件有效期,證件有效期
APP,KYC Duplicate Identity,kycDup.cancelBtn,Use a different ID,使用其他证件,使用其他證件
APP,KYC Duplicate Identity,kycDup.continueBtn,Continue with verified account,继续使用已认证账号,繼續使用已認證帳號
APP,KYC Duplicate Identity,kycDup.desc,"For your security, each verified identity can belong to only one active account. Please continue with your existing verified account.",为保障账户安全，同一认证身份仅可对应一个在用账号，请继续使用您已认证的账号。,為保障帳戶安全，同一認證身份僅可對應一個在用帳號，請繼續使用您已認證的帳號。
APP,KYC Duplicate Identity,kycDup.existingAcct,Existing verified account,已认证账号,已認證帳號
APP,KYC Duplicate Identity,kycDup.friendlyNote,"Your current login method will be migrated to the verified account. Once completed, you can use it to sign in to the verified account.",系统会把当前登录方式迁移到已认证账号，迁移完成后当前登录方式可用于登录已认证账号。,系統會把目前登入方式遷移到已認證帳號，遷移完成後目前登入方式可用於登入已認證帳號。
APP,KYC Duplicate Identity,kycDup.headline,This ID is already associated with an account,该证件已关联已认证账号,該證件已關聯已認證帳號
APP,KYC Duplicate Identity,kycDup.title,Identity Notice,身份提示,身份提示
APP,KYC Duplicate Identity,kycDup.verifiedTag,✓ Verified,✓ 已认证 · HK,✓ 已認證 · HK
APP,KYC Duplicate Conflict,kycDupConflict.cancelBtn,Use a different ID,使用其他证件,使用其他證件
APP,KYC Duplicate Conflict,kycDupConflict.desc,"For your security, each verified identity can belong to only one active account. The verified account already has the same type of login method, so no migration is needed.",为保障账户安全，同一认证身份仅可对应一个在用账号。已认证账号已有相同类型的登录方式，无需迁移。,為保障帳戶安全，同一認證身份僅可對應一個在用帳號。已認證帳號已有相同類型的登入方式，無需遷移。
APP,KYC Duplicate Conflict,kycDupConflict.existingAcct,Existing verified account,已认证账号,已認證帳號
APP,KYC Duplicate Conflict,kycDupConflict.goLoginBtn,Go to Login,前往登录,前往登入
APP,KYC Duplicate Conflict,kycDupConflict.headline,This ID is already associated with an account,该证件已关联已认证账号,該證件已關聯已認證帳號
APP,KYC Duplicate Conflict,kycDupConflict.infoNote,"The verified account already has a login method of the same type (e.g., both use email). Please sign in directly with the verified account.",已认证账号已有与当前相同类型的登录方式（如都是邮箱），请直接使用已认证账号登录。,已認證帳號已有與目前相同類型的登入方式（如都是信箱），請直接使用已認證帳號登入。
APP,KYC Duplicate Conflict,kycDupConflict.title,Identity Notice,身份提示,身份提示
APP,KYC Bind Login Method,kycDupSup.acctLabel,Bind to account,绑定到账号,綁定到帳號
APP,KYC Bind Login Method,kycDupSup.cancel,Cancel,取消,取消
APP,KYC Bind Login Method,kycDupSup.desc,Your verified account currently uses phone login only. We'll add your email as a new login method so you can sign in with either.,您的已认证账号目前仅支持手机号登录，邮箱添加成功后可用邮箱或手机号登录。,您的已認證帳號目前僅支援手機號登入，信箱新增成功後可用信箱或手機號登入。
APP,KYC Bind Login Method,kycDupSup.emailLabel,Email to add,待添加邮箱,待新增信箱
APP,KYC Bind Login Method,kycDupSup.headline,Bind this email to the verified account,将该邮箱绑定到已认证账号,將該信箱綁定到已認證帳號
APP,KYC Bind Login Method,kycDupSup.nextBtn,Send verification code,发送验证码,傳送驗證碼
APP,KYC Bind Login Method,kycDupSup.secureNote,🔐 We'll send a one-time code to the verified phone number to confirm you own the account before binding.,🔐 系统将向已认证手机号发送一次性验证码，用于确认账号所有权。,🔐 系統將向已認證手機號傳送一次性驗證碼，用於確認帳號所有權。
APP,KYC Bind Login Method,kycDupSup.title,Add Login Method,补全登录方式,補全登入方式
APP,KYC Ownership OTP,kycDupOtp.desc,We sent a code to <b>+852 ****1234</b>. Enter it below to confirm ownership and complete the binding.,验证码已发送至 <b>+852 ****1234</b>，输入后即可完成绑定。,驗證碼已傳送至 <b>+852 ****1234</b>，輸入後即可完成綁定。
APP,KYC Ownership OTP,kycDupOtp.headline,Enter the 6-digit code,请输入6位验证码,請輸入6位驗證碼
APP,KYC Ownership OTP,kycDupOtp.resend,Resend code in 60s,60秒后可重发,60秒後可重發
